# Concurrents Airbnb — T2 Schœlcher (Schœlcher, 4 pers, standard)
# Colonnes : listing_id, name, platform, capacity, bedrooms, bathrooms, has_pool, has_sea_view, area_km, standing, notes
# has_pool / has_sea_view : 1 = oui, 0 = non | standing : premium | standard | budget
listing_id,name,platform,capacity,bedrooms,bathrooms,has_pool,has_sea_view,area_km,standing,notes
22623046,Appartement 4 pièces Schœlcher 3 ch vue mer,airbnb,6,3,2,0,1,0.5,standard,3 chambres vue mer Schœlcher
38402320,FACE A MER — Schœlcher bord de mer,airbnb,4,2,1,0,1,0.8,standard,Accès direct plage vue mer
965273608763611063,Appartement Schœlcher central,airbnb,4,2,1,0,0,1.0,standard,T2 central bien situé
1293784106035766705,Oasis urban suite — Schœlcher,airbnb,4,2,1,0,0,1.5,standard,Suite urbaine climatisée
# Note : Schœlcher est proche de Fort-de-France — ajouter des concurrents Fort-de-France si nécessaire
